,tiempo,U,Y
0,0.0,1.0,4.900128857835855
1,0.1963923385580954,1.0,4.942449513060145
2,0.3927846771161908,1.0,5.342259999957314
3,0.5891770156742862,1.0,5.2766871930022825
4,0.7855693542323816,1.0,5.020014710117705
5,0.9819616927904771,1.0,5.181142165556822
6,1.1783540313485723,1.0,5.2326873447636775
7,1.3747463699066678,1.0,5.451194637862915
8,1.5711387084647632,1.0,5.520190185431064
9,1.7675310470228587,1.0,5.668760833490271
10,1.9639233855809541,1.0,5.723997902981886
11,2.1603157241390494,1.0,5.772838894435848
12,2.3567080626971446,1.0,5.791533159635546
13,2.5531004012552403,1.0,6.162243970428598
14,2.7494927398133355,1.0,6.246623960744252
15,2.945885078371431,1.0,6.162625945812935
16,3.1422774169295264,1.0,6.4649490322858325
17,3.3386697554876217,1.0,6.144653400154141
18,3.5350620940457174,1.0,6.460328523695975
19,3.7314544326038126,1.0,6.127251832195765
20,3.9278467711619083,1.0,6.339142538633117
21,4.124239109720003,1.0,6.492193030136094
22,4.320631448278099,1.0,6.433321829349989
23,4.517023786836194,1.0,6.503729988536494
24,4.713416125394289,1.0,6.486693815432412
25,4.909808463952385,1.0,6.71896229501263
26,5.106200802510481,1.0,6.498398476155384
27,5.302593141068576,1.0,6.5403531987734995
28,5.498985479626671,1.0,6.615432652398083
29,5.695377818184767,1.0,6.532709485811161
30,5.891770156742862,1.0,6.78700572316025
31,6.088162495300957,1.0,6.732712195052954
32,6.284554833859053,1.0,6.91167241709113
33,6.480947172417149,1.0,6.723829138559989
34,6.677339510975243,1.0,6.85600981146842
35,6.873731849533339,1.0,6.730321159354142
36,7.070124188091435,1.0,6.868004790736015
37,7.2665165266495295,1.0,6.826241819521539
38,7.462908865207625,1.0,6.6571182670760045
39,7.659301203765721,1.0,6.811425840989306
40,7.855693542323817,1.0,7.016342391611449
41,8.052085880881911,1.0,6.913549233085065
42,8.248478219440006,1.0,6.827031714780724
43,8.444870557998103,1.0,6.7265857885314695
44,8.641262896556198,1.0,6.865240192524553
45,8.837655235114292,1.0,6.795731244210874
46,9.034047573672389,1.0,6.9289297416593945
47,9.230439912230484,1.0,6.819731638967049
48,9.426832250788578,1.0,6.856644372508777
49,9.623224589346675,1.0,6.75474175108804
50,9.81961692790477,1.0,6.818287033638227
51,10.016009266462866,1.0,7.049780543896749
52,10.212401605020961,1.0,6.897527613585411
53,10.408793943579056,1.0,7.037680412183433
54,10.605186282137153,1.0,6.876452954047272
55,10.801578620695247,1.0,6.917635125385538
56,10.997970959253342,1.0,6.757317246506148
57,11.194363297811439,1.0,6.959619845578946
58,11.390755636369533,1.0,7.099821210958715
59,11.587147974927628,1.0,7.051279358402551
60,11.783540313485725,1.0,6.960947950203343
61,11.97993265204382,1.0,6.970202596592611
62,12.176324990601914,1.0,6.668181412567963
63,12.372717329160011,1.0,6.97450544877959
64,12.569109667718106,1.0,7.0642360058826075
65,12.7655020062762,1.0,7.047626506760738
66,12.961894344834297,1.0,6.965081711775609
67,13.158286683392392,1.0,7.005596129486235
68,13.354679021950487,1.0,7.0395137317242655
69,13.551071360508583,1.0,6.97766567778398
70,13.747463699066678,1.0,7.128754375813734
71,13.943856037624773,1.0,6.808214745724447
72,14.14024837618287,1.0,6.949923253641913
73,14.336640714740964,1.0,6.934433152558714
74,14.533033053299059,1.0,6.732831830069815
75,14.729425391857156,1.0,6.904577535298853
76,14.92581773041525,1.0,7.028444325363695
77,15.122210068973345,1.0,7.024151302720767
78,15.318602407531442,1.0,7.066891987661024
79,15.514994746089537,1.0,7.129282869455562
80,15.711387084647633,1.0,7.066031197165568
81,15.907779423205728,1.0,6.975846411410908
82,16.104171761763823,1.0,6.863911435149778
83,16.300564100321917,1.0,6.988673074145714
84,16.496956438880012,1.0,6.828658782144815
85,16.69334877743811,1.0,6.981322729717373
86,16.889741115996205,1.0,7.02229136354892
87,17.0861334545543,1.0,7.182301889517896
88,17.282525793112395,1.0,6.909579937134775
89,17.47891813167049,1.0,6.892045999334584
90,17.675310470228585,1.0,7.034087872543741
91,17.871702808786683,1.0,6.960852651352111
92,18.068095147344778,1.0,6.89041655914298
93,18.264487485902873,1.0,7.115965457070601
94,18.460879824460967,1.0,6.847653940388922
95,18.657272163019062,1.0,6.842048463248092
96,18.853664501577157,1.0,7.066898351096638
97,19.050056840135255,1.0,6.990835260772141
98,19.24644917869335,1.0,7.005115686703531
99,19.442841517251445,1.0,6.912975861287709
100,19.63923385580954,1.0,7.082674049997175
101,19.835626194367634,1.0,6.940171963290745
102,20.032018532925733,1.0,6.919277694155681
103,20.228410871483828,1.0,6.804124402652511
104,20.424803210041922,1.0,6.901618327546312
105,20.621195548600017,1.0,7.069187692563038
106,20.817587887158112,1.0,6.733243344299078
107,21.013980225716207,1.0,6.929244717826589
108,21.210372564274305,1.0,7.021538121677842
109,21.4067649028324,1.0,6.909159173226359
110,21.603157241390495,1.0,6.8949728942979736
111,21.79954957994859,1.0,7.015989568219167
112,21.995941918506684,1.0,7.014674752925552
113,22.19233425706478,1.0,6.965734733270971
114,22.388726595622877,1.0,6.894277764332915
115,22.585118934180972,1.0,6.924156768561279
